School ID,School Name,Network ,SQRP Total Points Earned,SY 2017-2018 SQRP Rating,SY 2017-2018 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400083,ACERO - PAZ,Charter,2.4,Level 2,Not Applicable,29,100,2,18.75,23,100,2,18.75,45.7,100,2,10,,,,,34,100,3,1.25,,,,,,,,,,,,,24,100,2,1.25,,,,,,,,,57,100,3,5,36,100,2,5,69,100,3,2.5,41,100,3,2.5,94.9,3,20,Not Yet Organized,1,10,99.8,5,5
400084,ACERO - TAMAYO,Charter,4,Level 1+,Not Applicable,76,100,4,17.5,42,100,3,17.5,59.3,100,3,10,,,,,75,100,5,1.25,30,100,3,1.25,,,,,,,,,40,100,3,1.25,43,100,3,1.25,,,,,67,100,3,5,66,100,3,5,95,100,5,2.5,80,100,4,2.5,97,5,20,Well Organized,5,10,100,5,5
400089,ACERO - MARQUEZ,Charter,3.5,Level 1,Not Applicable,68,100,3,17.5,63,100,3,17.5,59.1,100,3,10,,,,,68,100,4,1.25,50,100,4,1.25,,,,,,,,,65,100,4,1.25,75,100,5,1.25,,,,,61,100,3,5,60,100,3,5,50,100,3,2.5,52,100,3,2.5,96.3,5,20,Partially Organized,2,10,99.9,5,5
400092,CICS - BOND,Charter,2.4,Level 2,Not Applicable,46,100,3,17.5,7,100,1,17.5,41.1,100,2,10,46,100,3,1.25,,,,,,,,,24,100,2,1.25,7,100,1,1.25,,,,,,,,,40,100,3,1.25,38,100,2,5,25,100,2,5,31,98,2,2.5,68,100,3,2.5,92.6,2,20,Organized,4,10,99.5,5,5
400096,ROWE,Charter,2.7,Level 2+,Not Applicable,36,100,2,15,37,100,2,15,49.7,100,2,10,24,100,2,1.25,40,100,3,1.25,50,100,4,1.25,46,100,3,1.25,32,100,3,1.25,35,100,3,1.25,35,100,3,1.25,45,100,3,1.25,55,100,3,5,62,100,3,5,74,100,4,2.5,58,100,3,2.5,95.9,4,20,Not Yet Organized,1,10,99.8,5,5
400101,ACERO - CISNEROS,Charter,3.7,Level 1,Not Applicable,64,100,3,17.5,73,100,4,17.5,59.7,100,3,10,,,,,68,100,4,1.25,52,100,4,1.25,,,,,,,,,73,100,5,1.25,34,100,3,1.25,,,,,77,100,4,5,78,100,4,5,65,100,3,2.5,36,100,2,2.5,97,5,20,Partially Organized,2,10,100,5,5
400107,LEARN - SOUTH CHICAGO,Charter,2.7,Level 2,Not Applicable,24,100,2,17.5,18,100,2,17.5,45.9,100,2,10,22,100,2,1.25,,,,,,,,,3,100,1,1.25,17,100,2,1.25,,,,,,,,,1,100,1,1.25,35,100,2,5,46,100,3,5,48,100,3,2.5,33,100,2,2.5,96.3,5,20,Not Yet Organized,1,10,100,5,5
400111,LEARN - PERKINS,Charter,3.5,Level 1,Not Applicable,54,100,3,17.5,32,100,2,17.5,50.3,100,3,10,54,100,4,1.25,,,,,,,,,8,100,1,1.25,32,100,3,1.25,,,,,,,,,14,100,2,1.25,52,100,3,5,45,100,3,5,32,100,2,2.5,39,100,2,2.5,96.5,5,20,Well Organized,5,10,100,5,5
400112,ACERO - IDAR,Charter,3.7,Level 1,Not Applicable,64,100,3,17.5,72,100,4,17.5,60.1,100,4,10,,,,,64,100,4,1.25,68,100,4,1.25,,,,,,,,,72,100,5,1.25,99,100,5,1.25,,,,,61,100,3,5,87,100,4,5,58,100,3,2.5,45,100,3,2.5,96.8,5,20,Not Yet Organized,1,10,98.7,4,5
400114,ACERO - SANTIAGO,Charter,4.9,Level 1+,Not Applicable,93,100,5,18.75,95,100,5,18.75,74.8,100,5,10,,,,,91,100,5,1.25,,,,,,,,,,,,,95,100,5,1.25,,,,,,,,,82,100,4,5,83,100,4,5,98,100,5,2.5,99,100,5,2.5,98,5,20,Well Organized,5,10,100,5,5
